类型,谱例编号,图片路径,章节,分组,小节,图注
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1269000888_figure_largeshow.jpg,第一章 循环与网格图,1-2 三和弦的网格,三和弦的网格图,图1.30 网格图上的全音阶、半音阶与三全音
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1270539746_figure_largeshow.jpg,第一章 循环与网格图,1-2 三和弦的网格,三和弦的网格图,图1.29 网格图上的三种密铺单元
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1272441049_figure_large.jpg,第二章 大调和声,2-2 大调的正三和弦,2-2 大调的正三和弦,图2.12 C大调七个三和弦的地位
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1272441147_figure_large.jpg,第二章 大调和声,2-3 副三和弦与和声套路,2-3 副三和弦与和声套路,图2.12 C大调七个三和弦的地位
谱例,9.54,E:\Documents\DeepSeeK\harmony-trainer\images\1278908098_figure_largeshow.jpg,第九章 音乐的结构,9-5 从节拍到节奏型,切分与弱起,
谱例,9.56,E:\Documents\DeepSeeK\harmony-trainer\images\1278908117_figure_largeshow.jpg,第九章 音乐的结构,9-5 从节拍到节奏型,切分与弱起,
谱例,9.59,E:\Documents\DeepSeeK\harmony-trainer\images\1278908386_figure_largeshow.jpg,第九章 音乐的结构,9-5 从节拍到节奏型,切分与弱起,
谱例,3.7,E:\Documents\DeepSeeK\harmony-trainer\images\1294001223_figure_largeshow.jpg,第三章 小调和声,3-3 大调的借用和弦,同名主和弦的切换,
谱例,8.53,E:\Documents\DeepSeeK\harmony-trainer\images\1322196032_figure_largeshow.jpg,第八章 和弦变换,8-4 平移与倒影,终止式的发展,
谱例,6.27,E:\Documents\DeepSeeK\harmony-trainer\images\1330320720_figure_largeshow.jpg,第六章 排列与连接,6-4 和弦转位,终止四六和弦,
谱例,6.29,E:\Documents\DeepSeeK\harmony-trainer\images\1330320906_figure_largeshow.jpg,第六章 排列与连接,6-4 和弦转位,终止四六和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1332089020_figure_large.jpg,第五章 变化与延伸,5-5 爵士理论入门,和弦—音阶理论,图5.48 C大调音阶上的七个调式与各自的十三和弦
谱例,6.8,E:\Documents\DeepSeeK\harmony-trainer\images\1333269950_figure_large.jpg,第六章 排列与连接,6-2 音的排列,距离产生美,
谱例,6.29,E:\Documents\DeepSeeK\harmony-trainer\images\1333270135_figure_largeshow.jpg,第九章 音乐的结构,9-4 旋律线的创作,副旋律的创作,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1333271544_figure_largeshow.jpg,第三章 小调和声,3-1 小调的三种类型,旋律小调与爵士小调,图3.12 a自然小调与a爵士（旋律）小调
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1333271656_figure_largeshow.jpg,第三章 小调和声,3-2 和声分析与小调进行,五线谱的和声分析,图3.14 g小调的三和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1333271781_figure_largeshow.jpg,第三章 小调和声,3-2 和声分析与小调进行,小调和声的特点,图3.15 小调和声综合的功能组
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1333271919_figure_largeshow.jpg,第三章 小调和声,3-2 和声分析与小调进行,小调和声的特点,图3.17 大调与三种关系小调的融合
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1333272052_figure_largeshow.jpg,第三章 小调和声,3-3 大调的借用和弦,同主音调,图3.18 C大调与c小调的关系
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1333272438_figure_largeshow.jpg,第三章 小调和声,3-3 大调的借用和弦,副三和弦的借用,图3.22 C大调与c自然小调的副三和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1333272596_figure_largeshow.jpg,第三章 小调和声,3-4 小调的借用和弦,小调向大调的借用,图3.23 a小调与A大调的关系
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1333282086_figure_largeshow.jpg,第四章 副调和弦,4-1 副调和弦,大调的属调,图4.4 离调进行的几种标记方式
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1333284771_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题一,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1334275110_figure_large.jpg,第五章 变化与延伸,5-5 爵士理论入门,兼容原则,图5.49 G7与音阶的搭配示例
谱例,6.43,E:\Documents\DeepSeeK\harmony-trainer\images\1335866890_figure_large.jpg,第六章 排列与连接,6-4 和弦转位,爵士和声的声部连接,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1338147814_figure_largeshow.jpg,第四章 副调和弦,4-1 副调和弦,五度圈进行,图4.3 属七和弦的连锁进行
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1339024473_figure_largeshow.jpg,第五章 变化与延伸,5-2 拿坡里和弦,拿坡里和弦,图5.18 拿坡里和弦的离调
谱例,7.1,E:\Documents\DeepSeeK\harmony-trainer\images\1340276265_figure_large.jpg,第七章 和弦外音,7-1 和弦外音,经过音和辅助音,
谱例,7.2,E:\Documents\DeepSeeK\harmony-trainer\images\1340290065_figure_large.jpg,第七章 和弦外音,7-1 和弦外音,经过音和辅助音,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1341069320_figure_largeshow.jpg,第五章 变化与延伸,5-2 拿坡里和弦,功能组的渗透,图5.22 NΔ与V7♭5的共同音
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1341069491_figure_largeshow.jpg,第五章 变化与延伸,5-2 拿坡里和弦,功能组的渗透,图5.23 vii°7♭3、vii°7♯3的多重理解
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1341069502_figure_largeshow.jpg,第五章 变化与延伸,5-2 拿坡里和弦,功能组的渗透,图5.24 ii7与viiø、ii7♯1与viiø♯3的关系
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1342064084_figure_largeshow.jpg,第六章 排列与连接,6-1 谐音列与音程,欣德米特的音序理论,图6.9 以C为基准的协和度“太极”图
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1342064192_figure_large.jpg,附录,附录一 附图,10. 音程协和度与趋近十字图,
谱例,6.24,E:\Documents\DeepSeeK\harmony-trainer\images\1342288686_figure_large.jpg,第六章 排列与连接,6-3 声部连接,和声进行的综合规划,
谱例,6.17,E:\Documents\DeepSeeK\harmony-trainer\images\1342288859_figure_large.jpg,第六章 排列与连接,6-3 声部连接,对位运动,
谱例,6.23,E:\Documents\DeepSeeK\harmony-trainer\images\1343452773_figure_large.jpg,第六章 排列与连接,6-3 声部连接,音程的解决,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1344502958_figure_largeshow.jpg,第十章 基础篇总结,10-1 基础和声总结,和声的发展历史,图10.6 和声与西方音乐的发展略图
谱例,7.59,E:\Documents\DeepSeeK\harmony-trainer\images\1345829797_figure_large.jpg,第七章 和弦外音,7-5 非三度和声,四度与五度和声,
谱例,7.60,E:\Documents\DeepSeeK\harmony-trainer\images\1345829885_figure_large.jpg,第七章 和弦外音,7-5 非三度和声,四度与五度和声,
谱例,8.48,E:\Documents\DeepSeeK\harmony-trainer\images\1346793981_figure_large.jpg,第八章 和弦变换,8-4 平移与倒影,终止式的发展,
谱例,8.39,E:\Documents\DeepSeeK\harmony-trainer\images\1346794617_figure_large.jpg,第八章 和弦变换,8-4 平移与倒影,负和声,
谱例,2.1,E:\Documents\DeepSeeK\harmony-trainer\images\1346799878_figure_largeshow.jpg,第十章 基础篇总结,10-1 基础和声总结,和弦重配,图10.3 旋律音与所有十二个音上和弦的配合练习
谱例,5.24,E:\Documents\DeepSeeK\harmony-trainer\images\1350277089_figure_large.jpg,第五章 变化与延伸,5-3 增六和弦,增六和弦的实例,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1351736484_figure_large.jpg,第五章 变化与延伸,5-4 高叠和弦及其变音,高叠和弦的变化音,图5.46 根音与上方音的配合列表
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1351736545_figure_large.jpg,附录,附录一 附图,9. 根音上的各和弦音,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1352647705_figure_largeshow.jpg,第二章 大调和声,2-4 大调的七和弦,大七和弦,图2.28 CΔ和弦的结构
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1352647953_figure_largeshow.jpg,第二章 大调和声,2-4 大调的七和弦,属七和弦,图2.30 G7和弦在C大调的位置与结构
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1352653022_figure_largeshow.jpg,第五章 变化与延伸,5-3 增六和弦,全功能理论,图5.37 以C为主音的完全功能分布
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1352653179_figure_large.jpg,附录,附录一 附图,7. 大小调功能体系,
谱例,9.12,E:\Documents\DeepSeeK\harmony-trainer\images\1355451993_figure_large.jpg,第九章 音乐的结构,9-2 卡农与赋格,主调与复调,
谱例,9.41,E:\Documents\DeepSeeK\harmony-trainer\images\1355452026_figure_largeshow.jpg,第九章 音乐的结构,9-4 旋律线的创作,从和声出发的创作,
谱例,9.12,E:\Documents\DeepSeeK\harmony-trainer\images\1355452594_figure_large.jpg,第九章 音乐的结构,9-6 和弦的伴奏音型,分解和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1356239248_figure_largeshow.jpg,第五章 变化与延伸,5-4 高叠和弦及其变音,高叠和弦的变化音,图5.45 C根音上的和弦音总结
谱例,7.25,E:\Documents\DeepSeeK\harmony-trainer\images\1363610924_figure_large.jpg,第七章 和弦外音,7-3 趋近和弦,共同音趋近,
谱例,7.26,E:\Documents\DeepSeeK\harmony-trainer\images\1363611166_figure_large.jpg,第七章 和弦外音,7-3 趋近和弦,共同音趋近,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1365627017_figure_largeshow.jpg,第五章 变化与延伸,5-1 属变和弦与三全音替换,小调的属变和弦,图5.10 a小调E7下降五音
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1365627271_figure_largeshow.jpg,第五章 变化与延伸,5-1 属变和弦与三全音替换,副属变和弦,图5.12 C大调重属变和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1365627369_figure_largeshow.jpg,第五章 变化与延伸,5-1 属变和弦与三全音替换,副属变和弦,图5.13 C大调的ii级副属变和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1365627983_figure_largeshow.jpg,第五章 变化与延伸,5-4 高叠和弦及其变音,避免音,图5.47 G13♯11和弦音的层次与三全音替换
谱例,5.28,E:\Documents\DeepSeeK\harmony-trainer\images\1365628085_figure_large.jpg,第五章 变化与延伸,5-4 高叠和弦及其变音,高叠和弦的变化音,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1366631879_figure_large.jpg,附录,附录三 图上的音程与连接法,自测题三,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1366632783_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题三,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1366650323_figure_large.jpg,附录,附录三 图上的音程与连接法,自测题三,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1366650402_figure_large.jpg,附录,附录三 图上的音程与连接法,自测题三,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1366650574_figure_large.jpg,附录,附录三 图上的音程与连接法,自测题三,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1366650656_figure_large.jpg,附录,附录三 图上的音程与连接法,自测题三,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1366651299_figure_large.jpg,附录,附录三 图上的音程与连接法,自测题三,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1367093349_figure_large.jpg,附录,附录三 图上的音程与连接法,自测题三,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1367162697_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题三,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1368894248_figure_large.jpg,第二章 大调和声,2-3 副三和弦与和声套路,循环进行,图2.27 C大调音级的五度、三度、二度循环
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1368903962_figure_large.jpg,附录,附录三 图上的音程与连接法,自测题三,
谱例,5.33,E:\Documents\DeepSeeK\harmony-trainer\images\1369646343_figure_large.jpg,第五章 变化与延伸,5-5 爵士理论入门,爵士和声与古典和声的关系,
谱例,5.30,E:\Documents\DeepSeeK\harmony-trainer\images\1369646551_figure_large.jpg,第五章 变化与延伸,5-5 爵士理论入门,兼容原则,
谱例,5.31,E:\Documents\DeepSeeK\harmony-trainer\images\1369646679_figure_large.jpg,第五章 变化与延伸,5-5 爵士理论入门,兼容原则,
谱例,5.28,E:\Documents\DeepSeeK\harmony-trainer\images\1369650960_figure_large.jpg,第六章 排列与连接,6-4 和弦转位,爵士和声的声部连接,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1374814713_figure_largeshow.jpg,第五章 变化与延伸,5-3 增六和弦,全功能理论,图5.36 C大调、c小调功能组的五度序列
谱例,8.29,E:\Documents\DeepSeeK\harmony-trainer\images\1374819636_figure_large.jpg,第八章 和弦变换,8-3 七和弦的变换,案例：增六与“Blackadder”和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1374819896_figure_large.jpg,第八章 和弦变换,8-3 七和弦的变换,案例：增六与“Blackadder”和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1374822554_figure_large.jpg,第八章 和弦变换,8-3 七和弦的变换,案例：增六与“Blackadder”和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1374825599_figure_largeshow.jpg,第八章 和弦变换,8-3 七和弦的变换,案例：增六与“Blackadder”和弦,图8.43 含小七度和弦作为增六和弦使用
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1379347931_figure_largeshow.jpg,第八章 和弦变换,8-3 七和弦的变换,案例：增六与“Blackadder”和弦,图8.44 增六和弦的几种意义
谱例,7.4,E:\Documents\DeepSeeK\harmony-trainer\images\1380697225_figure_large.jpg,第七章 和弦外音,7-1 和弦外音,延留音与先现音,
谱例,8.33,E:\Documents\DeepSeeK\harmony-trainer\images\1380792939_figure_large.jpg,第八章 和弦变换,8-3 七和弦的变换,案例：增六与“Blackadder”和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1381380980_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题三,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1381388994_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题三,
谱例,4.4,E:\Documents\DeepSeeK\harmony-trainer\images\1382256872_figure_largeshow.jpg,第四章 副调和弦,4-2 综合谱例与小结,大调曲例,
谱例,7.43,E:\Documents\DeepSeeK\harmony-trainer\images\1387558148_figure_large.jpg,第七章 和弦外音,7-4 平行与反向和声,反向和声,
谱例,7.29,E:\Documents\DeepSeeK\harmony-trainer\images\1387558237_figure_large.jpg,第七章 和弦外音,7-3 趋近和弦,趋近和弦小结,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1387558454_figure_large.jpg,第七章 和弦外音,7-3 趋近和弦,趋近和弦小结,
谱例,7.40,E:\Documents\DeepSeeK\harmony-trainer\images\1387558579_figure_large.jpg,第七章 和弦外音,7-4 平行与反向和声,反向和声,
谱例,7.42,E:\Documents\DeepSeeK\harmony-trainer\images\1392204050_figure_large.jpg,第七章 和弦外音,7-4 平行与反向和声,反向和声,
谱例,7.58,E:\Documents\DeepSeeK\harmony-trainer\images\1392249280_figure_large.jpg,第七章 和弦外音,7-5 非三度和声,四度与五度和声,
谱例,7.64,E:\Documents\DeepSeeK\harmony-trainer\images\1392249353_figure_large.jpg,第七章 和弦外音,7-5 非三度和声,二度和声与音簇,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1394073849_figure_largeshow.jpg,第二章 大调和声,2-2 大调的正三和弦,正三和弦及其功能,图2.13 大调内各音大致的趋向性
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1394074024_figure_largeshow.jpg,第三章 小调和声,3-1 小调的三种类型,旋律小调与爵士小调,图3.13 小调内各音大致的趋向性
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1394074191_figure_large.jpg,第五章 变化与延伸,5-1 属变和弦与三全音替换,大调的属变和弦,图5.2 含变化音的大、小调各音趋向性
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1394074248_figure_large.jpg,第六章 排列与连接,6-3 声部连接,音的趋向,图5.2 含变化音的大、小调各音趋向性
谱例,7.65,E:\Documents\DeepSeeK\harmony-trainer\images\1395203937_figure_large.jpg,第七章 和弦外音,7-5 非三度和声,二度和声与音簇,
谱例,8.49,E:\Documents\DeepSeeK\harmony-trainer\images\1397461166_figure_large.jpg,第八章 和弦变换,8-4 平移与倒影,终止式的发展,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1397564033_figure_large.jpg,第一章 循环与网格图,1-1 音的循环,音程,图1.7 判断音程的练习
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1398207221_figure_largeshow.jpg,第五章 变化与延伸,5-1 属变和弦与三全音替换,小调的属变和弦,图5.11 小调的♭4级与♯4级
谱例,7.54,E:\Documents\DeepSeeK\harmony-trainer\images\1398339410_figure_largeshow.jpg,第七章 和弦外音,7-5 非三度和声,附加音和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1398668265_figure_largeshow.jpg,第十章 基础篇总结,10-1 基础和声总结,四个定律与四种变化,图10.2 和声的四个定律与四种变化
